stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\1463240\Desktop\TrabalhoFinal\bin\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.01211] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01213] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.01215] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01217] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.01220] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01222] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.01224] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01227] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01231] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01233] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01236] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01238] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01241] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01244] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01246] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01248] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01250] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01253] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01255] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01257] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01259] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01262] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01264] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01268] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01271] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01273] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01276] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01278] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01280] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01282] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01284] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01287] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01289] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01291] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01293] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01296] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01298] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
